2026-08-02 03:00:01 INFO  server started on :8080
2026-08-02 03:00:02 INFO  connected to database
2026-08-02 03:02:00 INFO  200 OK GET /health
2026-08-02 03:02:01 INFO  200 OK GET /health
2026-08-02 03:02:02 INFO  200 OK GET /health
2026-08-02 03:02:03 INFO  200 OK GET /health
2026-08-02 03:02:04 INFO  200 OK GET /health
2026-08-02 03:02:05 INFO  200 OK GET /health
2026-08-02 03:02:06 INFO  200 OK GET /health
2026-08-02 03:02:07 INFO  200 OK GET /health
2026-08-02 03:02:08 INFO  200 OK GET /health
2026-08-02 03:02:09 INFO  200 OK GET /health
2026-08-02 03:02:10 INFO  200 OK GET /health
2026-08-02 03:02:11 INFO  200 OK GET /health
2026-08-02 03:02:12 INFO  200 OK GET /health
2026-08-02 03:02:13 INFO  200 OK GET /health
2026-08-02 03:02:14 INFO  200 OK GET /health
2026-08-02 03:02:15 INFO  200 OK GET /health
2026-08-02 03:02:16 INFO  200 OK GET /health
2026-08-02 03:02:17 INFO  200 OK GET /health
2026-08-02 03:02:18 INFO  200 OK GET /health
2026-08-02 03:02:19 INFO  200 OK GET /health
2026-08-02 03:02:20 INFO  200 OK GET /health
2026-08-02 03:02:21 INFO  200 OK GET /health
2026-08-02 03:02:22 INFO  200 OK GET /health
2026-08-02 03:02:23 INFO  200 OK GET /health
2026-08-02 03:02:24 INFO  200 OK GET /health
2026-08-02 03:02:25 INFO  200 OK GET /health
2026-08-02 03:02:26 INFO  200 OK GET /health
2026-08-02 03:02:27 INFO  200 OK GET /health
2026-08-02 03:02:28 INFO  200 OK GET /health
2026-08-02 03:02:29 INFO  200 OK GET /health
2026-08-02 03:02:30 INFO  200 OK GET /health
2026-08-02 03:02:31 INFO  200 OK GET /health
2026-08-02 03:02:32 INFO  200 OK GET /health
2026-08-02 03:02:33 INFO  200 OK GET /health
2026-08-02 03:02:34 INFO  200 OK GET /health
2026-08-02 03:02:35 INFO  200 OK GET /health
2026-08-02 03:02:36 INFO  200 OK GET /health
2026-08-02 03:02:37 INFO  200 OK GET /health
2026-08-02 03:02:38 INFO  200 OK GET /health
2026-08-02 03:02:39 INFO  200 OK GET /health
2026-08-02 03:02:40 INFO  200 OK GET /health
2026-08-02 03:02:41 INFO  200 OK GET /health
2026-08-02 03:02:42 INFO  200 OK GET /health
2026-08-02 03:02:43 INFO  200 OK GET /health
2026-08-02 03:02:44 INFO  200 OK GET /health
2026-08-02 03:02:45 INFO  200 OK GET /health
2026-08-02 03:02:46 INFO  200 OK GET /health
2026-08-02 03:02:47 INFO  200 OK GET /health
2026-08-02 03:05:10 WARN  slow query detected (420ms) in GET /orders
2026-08-02 03:05:11 ERROR failed to connect to payment gateway: timeout
2026-08-02 03:05:12 INFO  retrying payment gateway connection
